City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bela,IN,78.96,clear sky,25.9333,81.9833,Raj Bhawan
2,Port Blair,IN,81.14,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
4,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
6,Marakkanam,IN,87.22,overcast clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
13,Ormara,PK,84.2,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
18,Port-Gentil,GA,79.23,light rain,-0.7193,8.7815,Fengshui Residence
19,Meulaboh,ID,77.4,overcast clouds,4.1363,96.1285,Kost Pria
20,Hilo,US,77.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Aquin,HT,84.15,clear sky,18.2833,-73.4,Asheev Beach
32,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Silver City,US,83.68,clear sky,32.7701,-108.2803,Copper Manor Motel
42,Lorengau,PG,82.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
43,Arraial Do Cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
44,Namibe,AO,73.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
47,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Serafimovich,RU,70.16,clear sky,49.5786,42.736000000000004,Donskiye Prostory
51,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
54,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
56,Kashi,CN,79.81,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
59,Rikitea,PF,77.11,broken clouds,-23.1203,-134.9692,Pension Maro'i
63,Jimenez,MX,88.54,clear sky,28.3333,-105.4,Hacienda Las Marias
67,Palora,EC,85.98,scattered clouds,-1.7,-77.9333,Rancho grande
72,Vaini,TO,74.97,overcast clouds,-21.2,-175.2,Keleti Beach Resort
76,Hami,CN,82.27,broken clouds,42.8,93.45,Laoyutang Resort
77,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
78,Sala,MA,70.48,overcast clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
79,Labuhan,ID,77.99,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
86,Barcelos,PT,81.28,clear sky,41.5388,-8.6151,Hotel Do Terço
87,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
91,Muros,ES,73.69,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
93,San Policarpo,PH,79.84,broken clouds,12.1791,125.5072,JM Lodge
97,Hambantota,LK,80.13,overcast clouds,6.1241,81.1185,Bungalow 63
98,Ibirama,BR,80.92,scattered clouds,-27.0569,-49.5178,Hotel Soralete
99,Vallenar,CL,83.46,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
101,Mogadishu,SO,78.57,broken clouds,2.0371,45.3438,Hotel Juba
107,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
113,Alta Floresta,BR,86.76,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
114,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
118,Dawei,MM,76.75,overcast clouds,14.0833,98.2,Hotel Dawei
123,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
124,Marsh Harbour,BS,79.5,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Shubarkuduk,KZ,72.14,scattered clouds,49.1447,56.4872,Sirius
129,Seabra,BR,76.48,overcast clouds,-12.4186,-41.7703,Cambuí Hotel
130,Gat,IL,74.8,clear sky,31.61,34.7642,OlusHome
136,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
137,San Patricio,US,78.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
139,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
140,Dingle,PH,78.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
143,Muli,MV,84.13,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
146,Kudahuvadhoo,MV,84.2,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
150,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
151,Lata,PT,78.04,clear sky,40.1629,-8.3327,Casa Maquia
153,Sibiti,CG,74.55,scattered clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
